Time,Wrist_PosX,Wrist_PosY,Wrist_PosZ,Wrist_RotX,Wrist_RotY,Wrist_RotZ,Wrist_RotW,Wrist_PosX.1,Wrist_PosY.1,Wrist_PosZ.1,Wrist_RotX.1,Wrist_RotY.1,Wrist_RotZ.1,Wrist_RotW.1,ThumbDistal_PosX,ThumbDistal_PosY,ThumbDistal_PosZ,ThumbDistal_RotX,ThumbDistal_RotY,ThumbDistal_RotZ,ThumbDistal_RotW,ThumbTip_PosX,ThumbTip_PosY,ThumbTip_PosZ,ThumbTip_RotX,ThumbTip_RotY,ThumbTip_RotZ,ThumbTip_RotW,IndexDistal_PosX,IndexDistal_PosY,IndexDistal_PosZ,IndexDistal_RotX,IndexDistal_RotY,IndexDistal_RotZ,IndexDistal_RotW,IndexTip_PosX,IndexTip_PosY,IndexTip_PosZ,IndexTip_RotX,IndexTip_RotY,IndexTip_RotZ,IndexTip_RotW,MiddleDistal_PosX,MiddleDistal_PosY,MiddleDistal_PosZ,MiddleDistal_RotX,MiddleDistal_RotY,MiddleDistal_RotZ,MiddleDistal_RotW,MiddleTip_PosX,MiddleTip_PosY,MiddleTip_PosZ,MiddleTip_RotX,MiddleTip_RotY,MiddleTip_RotZ,MiddleTip_RotW,RingDistal_PosX,RingDistal_PosY,RingDistal_PosZ,RingDistal_RotX,RingDistal_RotY,RingDistal_RotZ,RingDistal_RotW,RingTip_PosX,RingTip_PosY,RingTip_PosZ,RingTip_RotX,RingTip_RotY,RingTip_RotZ,RingTip_RotW,LittleDistal_PosX,LittleDistal_PosY,LittleDistal_PosZ,LittleDistal_RotX,LittleDistal_RotY,LittleDistal_RotZ,LittleDistal_RotW,LittleTip_PosX,LittleTip_PosY,LittleTip_PosZ,LittleTip_RotX,LittleTip_RotY,LittleTip_RotZ,LittleTip_RotW,state
0,0.1517,0.9493,0.177,0.647,0.1044,-0.0384,-0.7543,0.1517,0.9493,0.177,0.647,0.1044,-0.0384,-0.7543,0.0614,1.0073,0.1985,0.6773,0.0629,-0.6326,-0.3704,0.0396,1.017,0.1992,0.6773,0.0629,-0.6326,-0.3704,0.113,1.0932,0.2018,0.6944,-0.0155,0.0718,-0.7159,0.116,1.1146,0.2016,0.6944,-0.0155,0.0718,-0.7159,0.1296,1.1053,0.2029,0.7152,0.0546,0.0705,-0.6932,0.1307,1.1294,0.2012,0.7152,0.0546,0.0705,-0.6932,0.1476,1.0971,0.2069,0.6616,0.114,0.0677,-0.7381,0.1464,1.1206,0.2078,0.6616,0.114,0.0677,-0.7381,0.1622,1.0751,0.2094,0.6284,0.2017,0.0941,-0.7454,0.1586,1.0959,0.211,0.6284,0.2017,0.0941,-0.7454,4
0,0.1517,0.9493,0.177,0.647,0.1044,-0.0384,-0.7543,0.1517,0.9493,0.177,0.647,0.1044,-0.0384,-0.7543,0.0614,1.0073,0.1985,0.6773,0.0629,-0.6326,-0.3704,0.0396,1.017,0.1992,0.6773,0.0629,-0.6326,-0.3704,0.113,1.0932,0.2018,0.6944,-0.0155,0.0718,-0.7159,0.116,1.1146,0.2016,0.6944,-0.0155,0.0718,-0.7159,0.1296,1.1053,0.2029,0.7152,0.0546,0.0705,-0.6932,0.1307,1.1294,0.2012,0.7152,0.0546,0.0705,-0.6932,0.1476,1.0971,0.2069,0.6616,0.114,0.0677,-0.7381,0.1464,1.1206,0.2078,0.6616,0.114,0.0677,-0.7381,0.1622,1.0751,0.2094,0.6284,0.2017,0.0941,-0.7454,0.1586,1.0959,0.211,0.6284,0.2017,0.0941,-0.7454,4
14,0.1517,0.9497,0.1774,0.6479,0.1085,-0.0365,-0.7531,0.1517,0.9497,0.1774,0.6479,0.1085,-0.0365,-0.7531,0.061,1.0074,0.1979,0.6799,0.065,-0.6303,-0.3692,0.0392,1.017,0.1983,0.6799,0.065,-0.6303,-0.3692,0.1124,1.0935,0.2014,0.6949,-0.0114,0.0741,-0.7152,0.1154,1.115,0.2012,0.6949,-0.0114,0.0741,-0.7152,0.129,1.1057,0.2027,0.7153,0.0589,0.0726,-0.6925,0.13,1.1298,0.2009,0.7153,0.0589,0.0726,-0.6925,0.147,1.0975,0.2069,0.6613,0.1184,0.0695,-0.7375,0.1457,1.121,0.2077,0.6613,0.1184,0.0695,-0.7375,0.1616,1.0755,0.2095,0.6276,0.2058,0.0958,-0.7447,0.1579,1.0964,0.2111,0.6276,0.2058,0.0958,-0.7447,4
28,0.1516,0.95,0.178,0.6519,0.1124,-0.0385,-0.749,0.1516,0.95,0.178,0.6519,0.1124,-0.0385,-0.749,0.0602,1.0072,0.1974,0.683,0.0662,-0.6307,-0.3624,0.0384,1.0166,0.1977,0.683,0.0662,-0.6307,-0.3624,0.1111,1.0939,0.2002,0.6987,-0.0067,0.073,-0.7117,0.1139,1.1153,0.1998,0.6987,-0.0067,0.073,-0.7117,0.1275,1.1062,0.2014,0.7193,0.0642,0.0709,-0.6881,0.1283,1.1302,0.1993,0.7193,0.0642,0.0709,-0.6881,0.1456,1.0982,0.2057,0.6653,0.1232,0.0673,-0.7333,0.1441,1.1217,0.2063,0.6653,0.1232,0.0673,-0.7333,0.1604,1.0763,0.2088,0.6307,0.2109,0.0929,-0.741,0.1565,1.0972,0.2101,0.6307,0.2109,0.0929,-0.741,4
42,0.1515,0.9504,0.1786,0.6546,0.1147,-0.0394,-0.7462,0.1515,0.9504,0.1786,0.6546,0.1147,-0.0394,-0.7462,0.0598,1.0071,0.1972,0.6851,0.0671,-0.6308,-0.358,0.0379,1.0164,0.1974,0.6851,0.0671,-0.6308,-0.358,0.1104,1.0942,0.1996,0.7011,-0.0038,0.0726,-0.7093,0.1131,1.1157,0.199,0.7011,-0.0038,0.0726,-0.7093,0.1267,1.1066,0.2006,0.722,0.0677,0.07,-0.685,0.1274,1.1306,0.1983,0.722,0.0677,0.07,-0.685,0.1448,1.0987,0.2051,0.6681,0.1263,0.0662,-0.7302,0.1432,1.1222,0.2054,0.6681,0.1263,0.0662,-0.7302,0.1597,1.0769,0.2084,0.6328,0.2143,0.0911,-0.7385,0.1557,1.0977,0.2096,0.6328,0.2143,0.0911,-0.7385,4
55,0.1512,0.9508,0.1794,0.6551,0.1138,-0.0442,-0.7456,0.1512,0.9508,0.1794,0.6551,0.1138,-0.0442,-0.7456,0.0591,1.0068,0.1983,0.6832,0.0686,-0.6341,-0.3555,0.0372,1.0159,0.1985,0.6832,0.0686,-0.6341,-0.3555,0.1094,1.0945,0.2002,0.7025,-0.0044,0.068,-0.7084,0.112,1.1159,0.1995,0.7025,-0.0044,0.068,-0.7084,0.1255,1.1069,0.201,0.7235,0.0679,0.065,-0.6839,0.1261,1.131,0.1986,0.7235,0.0679,0.065,-0.6839,0.1438,1.0992,0.2054,0.6696,0.126,0.0612,-0.7294,0.1421,1.1227,0.2056,0.6696,0.126,0.0612,-0.7294,0.1588,1.0775,0.2087,0.6338,0.2141,0.0858,-0.7383,0.1546,1.0983,0.2098,0.6338,0.2141,0.0858,-0.7383,4
69,0.1507,0.951,0.1793,0.6514,0.1116,-0.0519,-0.7487,0.1507,0.951,0.1793,0.6514,0.1116,-0.0519,-0.7487,0.0584,1.006,0.2001,0.6756,0.0709,-0.6413,-0.3568,0.0363,1.0149,0.2009,0.6756,0.0709,-0.6413,-0.3568,0.1079,1.0941,0.2018,0.7007,-0.0068,0.0599,-0.7109,0.1103,1.1156,0.2012,0.7007,-0.0068,0.0599,-0.7109,0.1239,1.1068,0.2025,0.7213,0.0661,0.0568,-0.6871,0.1241,1.1308,0.2002,0.7213,0.0661,0.0568,-0.6871,0.1423,1.0991,0.2065,0.6668,0.1236,0.0534,-0.733,0.1403,1.1226,0.207,0.6668,0.1236,0.0534,-0.733,0.1575,1.0775,0.2095,0.6306,0.2116,0.0784,-0.7426,0.1531,1.0983,0.2108,0.6306,0.2116,0.0784,-0.7426,4
83,0.1504,0.9512,0.1789,0.654,0.1148,-0.0532,-0.7459,0.1504,0.9512,0.1789,0.654,0.1148,-0.0532,-0.7459,0.0577,1.0057,0.1992,0.6763,0.0708,-0.6424,-0.3534,0.0356,1.0145,0.1999,0.6763,0.0708,-0.6424,-0.3534,0.1068,1.0943,0.1998,0.7051,-0.0034,0.0596,-0.7066,0.1091,1.1158,0.199,0.7051,-0.0034,0.0596,-0.7066,0.1226,1.107,0.2006,0.7245,0.0695,0.0562,-0.6834,0.1228,1.131,0.1982,0.7245,0.0695,0.0562,-0.6834,0.1411,1.0995,0.2049,0.6699,0.127,0.0523,-0.7297,0.139,1.1229,0.2051,0.6699,0.127,0.0523,-0.7297,0.1563,1.078,0.2082,0.6325,0.2152,0.0768,-0.7401,0.1519,1.0987,0.2093,0.6325,0.2152,0.0768,-0.7401,4
97,0.1501,0.9512,0.179,0.6546,0.119,-0.0527,-0.7447,0.1501,0.9512,0.179,0.6546,0.119,-0.0527,-0.7447,0.0569,1.0052,0.1986,0.6779,0.0735,-0.6416,-0.3512,0.0348,1.0139,0.1992,0.6779,0.0735,-0.6416,-0.3512,0.1057,1.0941,0.199,0.7071,0.0007,0.0608,-0.7045,0.1079,1.1156,0.1981,0.7071,0.0007,0.0608,-0.7045,0.1215,1.1069,0.2,0.7257,0.0737,0.0572,-0.6817,0.1216,1.1309,0.1975,0.7257,0.0737,0.0572,-0.6817,0.1399,1.0995,0.2044,0.6711,0.1311,0.0531,-0.7277,0.1378,1.123,0.2045,0.6711,0.1311,0.0531,-0.7277,0.1552,1.0781,0.208,0.633,0.2195,0.0771,-0.7384,0.1507,1.0988,0.209,0.633,0.2195,0.0771,-0.7384,4
111,0.1498,0.9511,0.1789,0.6521,0.1226,-0.049,-0.7465,0.1498,0.9511,0.1789,0.6521,0.1226,-0.049,-0.7465,0.0564,1.005,0.1983,0.6779,0.0771,-0.6394,-0.3546,0.0343,1.0137,0.1988,0.6779,0.0771,-0.6394,-0.3546,0.1053,1.0939,0.1993,0.706,0.0034,0.0647,-0.7052,0.1076,1.1154,0.1984,0.706,0.0034,0.0647,-0.7052,0.121,1.1067,0.2007,0.7237,0.0766,0.0611,-0.6832,0.1211,1.1308,0.1982,0.7237,0.0766,0.0611,-0.6832,0.1394,1.0993,0.2052,0.6693,0.1342,0.0569,-0.7286,0.1373,1.1227,0.2054,0.6693,0.1342,0.0569,-0.7286,0.1546,1.0778,0.2088,0.6303,0.223,0.0809,-0.7392,0.1501,1.0985,0.2099,0.6303,0.223,0.0809,-0.7392,4
