Time,Wrist_PosX,Wrist_PosY,Wrist_PosZ,Wrist_RotX,Wrist_RotY,Wrist_RotZ,Wrist_RotW,Wrist_PosX.1,Wrist_PosY.1,Wrist_PosZ.1,Wrist_RotX.1,Wrist_RotY.1,Wrist_RotZ.1,Wrist_RotW.1,ThumbDistal_PosX,ThumbDistal_PosY,ThumbDistal_PosZ,ThumbDistal_RotX,ThumbDistal_RotY,ThumbDistal_RotZ,ThumbDistal_RotW,ThumbTip_PosX,ThumbTip_PosY,ThumbTip_PosZ,ThumbTip_RotX,ThumbTip_RotY,ThumbTip_RotZ,ThumbTip_RotW,IndexDistal_PosX,IndexDistal_PosY,IndexDistal_PosZ,IndexDistal_RotX,IndexDistal_RotY,IndexDistal_RotZ,IndexDistal_RotW,IndexTip_PosX,IndexTip_PosY,IndexTip_PosZ,IndexTip_RotX,IndexTip_RotY,IndexTip_RotZ,IndexTip_RotW,MiddleDistal_PosX,MiddleDistal_PosY,MiddleDistal_PosZ,MiddleDistal_RotX,MiddleDistal_RotY,MiddleDistal_RotZ,MiddleDistal_RotW,MiddleTip_PosX,MiddleTip_PosY,MiddleTip_PosZ,MiddleTip_RotX,MiddleTip_RotY,MiddleTip_RotZ,MiddleTip_RotW,RingDistal_PosX,RingDistal_PosY,RingDistal_PosZ,RingDistal_RotX,RingDistal_RotY,RingDistal_RotZ,RingDistal_RotW,RingTip_PosX,RingTip_PosY,RingTip_PosZ,RingTip_RotX,RingTip_RotY,RingTip_RotZ,RingTip_RotW,LittleDistal_PosX,LittleDistal_PosY,LittleDistal_PosZ,LittleDistal_RotX,LittleDistal_RotY,LittleDistal_RotZ,LittleDistal_RotW,LittleTip_PosX,LittleTip_PosY,LittleTip_PosZ,LittleTip_RotX,LittleTip_RotY,LittleTip_RotZ,LittleTip_RotW,state
0,0.243,0.8779,0.1018,-0.2549,0.042,-0.7473,0.6122,0.243,0.8779,0.1018,-0.2549,0.042,-0.7473,0.6122,0.2453,0.9509,0.1904,0.1158,-0.0454,-0.0334,0.9917,0.2436,0.9462,0.215,0.1158,-0.0454,-0.0334,0.9917,0.2465,0.9347,0.1986,0.6818,-0.7006,0.2076,-0.0356,0.2531,0.9289,0.1776,0.6818,-0.7006,0.2076,-0.0356,0.2366,0.9158,0.194,0.6862,-0.6827,0.2153,-0.1292,0.2476,0.9125,0.1712,0.6862,-0.6827,0.2153,-0.1292,0.2306,0.9009,0.1863,0.5841,-0.754,0.2452,-0.1739,0.2429,0.8968,0.165,0.5841,-0.754,0.2452,-0.1739,0.2278,0.886,0.1823,0.5231,-0.8023,0.2382,-0.1612,0.2383,0.8818,0.1629,0.5231,-0.8023,0.2382,-0.1612,4
15,0.243,0.8779,0.1018,-0.2549,0.042,-0.7473,0.6122,0.243,0.8779,0.1018,-0.2549,0.042,-0.7473,0.6122,0.2453,0.9509,0.1904,0.1158,-0.0454,-0.0334,0.9917,0.2436,0.9462,0.215,0.1158,-0.0454,-0.0334,0.9917,0.2465,0.9347,0.1986,0.6818,-0.7006,0.2076,-0.0356,0.2531,0.9289,0.1776,0.6818,-0.7006,0.2076,-0.0356,0.2366,0.9158,0.194,0.6862,-0.6827,0.2153,-0.1292,0.2476,0.9125,0.1712,0.6862,-0.6827,0.2153,-0.1292,0.2306,0.9009,0.1863,0.5841,-0.754,0.2452,-0.1739,0.2428,0.8968,0.165,0.5841,-0.754,0.2452,-0.1739,0.2278,0.886,0.1823,0.5231,-0.8023,0.2382,-0.1612,0.2383,0.8818,0.1629,0.5231,-0.8023,0.2382,-0.1612,4
28,0.2424,0.8779,0.1017,-0.2511,0.045,-0.7474,0.6134,0.2424,0.8779,0.1017,-0.2511,0.045,-0.7474,0.6134,0.2444,0.9501,0.191,0.1188,-0.0466,-0.0323,0.9913,0.2426,0.9453,0.2156,0.1188,-0.0466,-0.0323,0.9913,0.2459,0.9339,0.1996,0.6814,-0.7046,0.1957,-0.0314,0.2519,0.9283,0.1783,0.6814,-0.7046,0.1957,-0.0314,0.2359,0.915,0.1944,0.6855,-0.6853,0.2086,-0.1299,0.2467,0.9119,0.1715,0.6855,-0.6853,0.2086,-0.1299,0.2298,0.9001,0.1865,0.5832,-0.7566,0.2384,-0.1749,0.2419,0.8963,0.1651,0.5832,-0.7566,0.2384,-0.1749,0.227,0.8852,0.1822,0.5222,-0.8045,0.2317,-0.1626,0.2374,0.8813,0.1628,0.5222,-0.8045,0.2317,-0.1626,4
42,0.2417,0.8777,0.1021,-0.2455,0.0447,-0.7503,0.6122,0.2417,0.8777,0.1021,-0.2455,0.0447,-0.7503,0.6122,0.243,0.9494,0.1919,0.1204,-0.0518,-0.0334,0.9908,0.2409,0.9444,0.2165,0.1204,-0.0518,-0.0334,0.9908,0.2445,0.9332,0.2005,0.6784,-0.708,0.1935,-0.033,0.2506,0.9277,0.1792,0.6784,-0.708,0.1935,-0.033,0.2345,0.9144,0.1952,0.6823,-0.6883,0.2078,-0.1324,0.2453,0.9114,0.1723,0.6823,-0.6883,0.2078,-0.1324,0.2283,0.8996,0.187,0.5797,-0.759,0.2373,-0.1778,0.2405,0.8959,0.1656,0.5797,-0.759,0.2373,-0.1778,0.2255,0.8847,0.1825,0.5184,-0.8064,0.2307,-0.1664,0.236,0.8809,0.1631,0.5184,-0.8064,0.2307,-0.1664,4
56,0.2411,0.8775,0.1027,-0.2428,0.0432,-0.751,0.6126,0.2411,0.8775,0.1027,-0.2428,0.0432,-0.751,0.6126,0.2416,0.9491,0.1927,0.1201,-0.0551,-0.0319,0.9907,0.2394,0.9441,0.2173,0.1201,-0.0551,-0.0319,0.9907,0.2433,0.933,0.2013,0.6779,-0.7084,0.1933,-0.0339,0.2493,0.9275,0.18,0.6779,-0.7084,0.1933,-0.0339,0.2333,0.9141,0.196,0.6819,-0.6885,0.2078,-0.1334,0.2442,0.9111,0.1731,0.6819,-0.6885,0.2078,-0.1334,0.2272,0.8993,0.1877,0.5791,-0.7592,0.2369,-0.1792,0.2394,0.8957,0.1663,0.5791,-0.7592,0.2369,-0.1792,0.2244,0.8845,0.1832,0.5177,-0.8065,0.2305,-0.1686,0.235,0.8807,0.1638,0.5177,-0.8065,0.2305,-0.1686,4
70,0.2405,0.8774,0.1034,-0.2409,0.0425,-0.7515,0.6127,0.2405,0.8774,0.1034,-0.2409,0.0425,-0.7515,0.6127,0.2405,0.9487,0.1936,0.1198,-0.0573,-0.0306,0.9907,0.2382,0.9438,0.2181,0.1198,-0.0573,-0.0306,0.9907,0.2423,0.9327,0.2021,0.6775,-0.709,0.1927,-0.0343,0.2484,0.9272,0.1808,0.6775,-0.709,0.1927,-0.0343,0.2324,0.9138,0.1968,0.6815,-0.689,0.2073,-0.1339,0.2433,0.9109,0.174,0.6815,-0.689,0.2073,-0.1339,0.2263,0.8991,0.1885,0.5787,-0.7597,0.2359,-0.1798,0.2384,0.8954,0.1671,0.5787,-0.7597,0.2359,-0.1798,0.2235,0.8842,0.1839,0.5171,-0.8068,0.2299,-0.1699,0.2341,0.8805,0.1645,0.5171,-0.8068,0.2299,-0.1699,4
84,0.2403,0.8767,0.1042,-0.2423,0.0389,-0.7498,0.6145,0.2403,0.8767,0.1042,-0.2423,0.0389,-0.7498,0.6145,0.2397,0.9485,0.1939,0.1167,-0.058,-0.0266,0.9911,0.2374,0.9437,0.2185,0.1167,-0.058,-0.0266,0.9911,0.2415,0.9326,0.2024,0.6798,-0.7054,0.1977,-0.0355,0.2478,0.927,0.1811,0.6798,-0.7054,0.1977,-0.0355,0.2319,0.9137,0.1973,0.684,-0.6857,0.2103,-0.1333,0.2428,0.9106,0.1745,0.684,-0.6857,0.2103,-0.1333,0.2258,0.8988,0.1891,0.5816,-0.7568,0.2384,-0.1793,0.238,0.8951,0.1678,0.5816,-0.7568,0.2384,-0.1793,0.2232,0.8839,0.1846,0.5199,-0.8042,0.2324,-0.1698,0.2339,0.8802,0.1653,0.5199,-0.8042,0.2324,-0.1698,4
98,0.2402,0.8761,0.1047,-0.2424,0.0314,-0.7483,0.6167,0.2402,0.8761,0.1047,-0.2424,0.0314,-0.7483,0.6167,0.2381,0.9488,0.1937,0.1124,-0.0619,-0.0212,0.9915,0.2356,0.9443,0.2183,0.1124,-0.0619,-0.0212,0.9915,0.2401,0.933,0.2022,0.6822,-0.7006,0.2059,-0.0371,0.2466,0.9273,0.1811,0.6822,-0.7006,0.2059,-0.0371,0.2306,0.914,0.1973,0.6868,-0.6806,0.2171,-0.134,0.2418,0.9108,0.1747,0.6868,-0.6806,0.2171,-0.134,0.2248,0.899,0.1893,0.5848,-0.752,0.2447,-0.1808,0.2373,0.8952,0.1681,0.5848,-0.752,0.2447,-0.1808,0.2223,0.884,0.185,0.5232,-0.7998,0.2388,-0.1718,0.2332,0.8801,0.1658,0.5232,-0.7998,0.2388,-0.1718,4
111,0.2401,0.8756,0.1052,-0.2425,0.0256,-0.7471,0.6183,0.2401,0.8756,0.1052,-0.2425,0.0256,-0.7471,0.6183,0.2369,0.9489,0.1936,0.1094,-0.0651,-0.0169,0.9917,0.2343,0.9445,0.2182,0.1094,-0.0651,-0.0169,0.9917,0.2389,0.9332,0.2022,0.6841,-0.6966,0.2127,-0.0387,0.2458,0.9274,0.1812,0.6841,-0.6966,0.2127,-0.0387,0.2297,0.9141,0.1974,0.689,-0.6764,0.2226,-0.1347,0.2411,0.9108,0.1748,0.689,-0.6764,0.2226,-0.1347,0.224,0.899,0.1895,0.5872,-0.748,0.2499,-0.1823,0.2367,0.8951,0.1685,0.5872,-0.748,0.2499,-0.1823,0.2217,0.884,0.1853,0.5256,-0.7964,0.2438,-0.1735,0.2328,0.88,0.1663,0.5256,-0.7964,0.2438,-0.1735,4
125,0.2394,0.8747,0.1054,-0.2436,0.0175,-0.7476,0.6176,0.2394,0.8747,0.1054,-0.2436,0.0175,-0.7476,0.6176,0.2353,0.9492,0.1928,0.1022,-0.0693,-0.0147,0.9922,0.2325,0.9452,0.2175,0.1022,-0.0693,-0.0147,0.9922,0.2372,0.9336,0.2014,0.6842,-0.6929,0.2238,-0.0401,0.2445,0.9275,0.1806,0.6842,-0.6929,0.2238,-0.0401,0.2282,0.9144,0.1969,0.6898,-0.6726,0.2321,-0.1342,0.2399,0.9108,0.1746,0.6898,-0.6726,0.2321,-0.1342,0.2226,0.8992,0.1892,0.5882,-0.7439,0.2594,-0.1827,0.2355,0.895,0.1684,0.5882,-0.7439,0.2594,-0.1827,0.2203,0.8842,0.1853,0.5265,-0.7928,0.2527,-0.1742,0.2316,0.88,0.1665,0.5265,-0.7928,0.2527,-0.1742,4
