Time,Wrist_PosX,Wrist_PosY,Wrist_PosZ,Wrist_RotX,Wrist_RotY,Wrist_RotZ,Wrist_RotW,Wrist_PosX.1,Wrist_PosY.1,Wrist_PosZ.1,Wrist_RotX.1,Wrist_RotY.1,Wrist_RotZ.1,Wrist_RotW.1,ThumbDistal_PosX,ThumbDistal_PosY,ThumbDistal_PosZ,ThumbDistal_RotX,ThumbDistal_RotY,ThumbDistal_RotZ,ThumbDistal_RotW,ThumbTip_PosX,ThumbTip_PosY,ThumbTip_PosZ,ThumbTip_RotX,ThumbTip_RotY,ThumbTip_RotZ,ThumbTip_RotW,IndexDistal_PosX,IndexDistal_PosY,IndexDistal_PosZ,IndexDistal_RotX,IndexDistal_RotY,IndexDistal_RotZ,IndexDistal_RotW,IndexTip_PosX,IndexTip_PosY,IndexTip_PosZ,IndexTip_RotX,IndexTip_RotY,IndexTip_RotZ,IndexTip_RotW,MiddleDistal_PosX,MiddleDistal_PosY,MiddleDistal_PosZ,MiddleDistal_RotX,MiddleDistal_RotY,MiddleDistal_RotZ,MiddleDistal_RotW,MiddleTip_PosX,MiddleTip_PosY,MiddleTip_PosZ,MiddleTip_RotX,MiddleTip_RotY,MiddleTip_RotZ,MiddleTip_RotW,RingDistal_PosX,RingDistal_PosY,RingDistal_PosZ,RingDistal_RotX,RingDistal_RotY,RingDistal_RotZ,RingDistal_RotW,RingTip_PosX,RingTip_PosY,RingTip_PosZ,RingTip_RotX,RingTip_RotY,RingTip_RotZ,RingTip_RotW,LittleDistal_PosX,LittleDistal_PosY,LittleDistal_PosZ,LittleDistal_RotX,LittleDistal_RotY,LittleDistal_RotZ,LittleDistal_RotW,LittleTip_PosX,LittleTip_PosY,LittleTip_PosZ,LittleTip_RotX,LittleTip_RotY,LittleTip_RotZ,LittleTip_RotW,state
0,0.209,0.988,0.4019,0.0388,-0.3109,-0.7454,0.5884,0.209,0.988,0.4019,0.0388,-0.3109,-0.7454,0.5884,0.1431,1.0794,0.4373,-0.1153,-0.4829,0.0043,0.868,0.1223,1.0855,0.4505,-0.1153,-0.4829,0.0043,0.868,0.1068,1.0619,0.4695,0.545,-0.6533,-0.3423,0.3988,0.0856,1.062,0.4602,0.545,-0.6533,-0.3423,0.3988,0.1374,1.032,0.4382,0.532,-0.4311,0.5933,-0.4231,0.1631,1.0298,0.4388,0.532,-0.4311,0.5933,-0.4231,0.141,1.0148,0.4342,0.4459,-0.4818,0.5811,-0.481,0.1658,1.0111,0.436,0.4459,-0.4818,0.5811,-0.481,0.1386,1.0014,0.4368,0.4118,-0.564,0.5149,-0.4971,0.161,0.9979,0.4362,0.4118,-0.564,0.5149,-0.4971,4
0,0.2091,0.9879,0.4014,0.0405,-0.3114,-0.7459,0.5874,0.2091,0.9879,0.4014,0.0405,-0.3114,-0.7459,0.5874,0.1449,1.08,0.4381,-0.1121,-0.4777,-0.0117,0.8713,0.1243,1.0863,0.4516,-0.1121,-0.4777,-0.0117,0.8713,0.1067,1.062,0.4688,0.543,-0.6541,-0.3434,0.3992,0.0855,1.0622,0.4595,0.543,-0.6541,-0.3434,0.3992,0.1372,1.032,0.4374,0.5336,-0.4366,0.5897,-0.4205,0.163,1.0296,0.4376,0.5336,-0.4366,0.5897,-0.4205,0.1409,1.0148,0.4334,0.4464,-0.4846,0.5795,-0.4796,0.1658,1.011,0.4351,0.4464,-0.4846,0.5795,-0.4796,0.1385,1.0013,0.4359,0.4112,-0.5645,0.5162,-0.4959,0.161,0.9977,0.4353,0.4112,-0.5645,0.5162,-0.4959,4
69,0.2092,0.9879,0.4013,0.0402,-0.3135,-0.7454,0.5869,0.2092,0.9879,0.4013,0.0402,-0.3135,-0.7454,0.5869,0.145,1.0801,0.4378,-0.11,-0.4779,-0.0112,0.8714,0.1244,1.0863,0.4513,-0.11,-0.4779,-0.0112,0.8714,0.1067,1.0622,0.4682,0.5435,-0.6547,-0.342,0.3988,0.0855,1.0624,0.4589,0.5435,-0.6547,-0.342,0.3988,0.1373,1.0322,0.437,0.5351,-0.4379,0.5891,-0.4183,0.163,1.0298,0.4371,0.5351,-0.4379,0.5891,-0.4183,0.1409,1.0149,0.433,0.4484,-0.4858,0.5788,-0.4774,0.1658,1.0112,0.4346,0.4484,-0.4858,0.5788,-0.4774,0.1386,1.0014,0.4356,0.4122,-0.5637,0.5178,-0.4942,0.161,0.9978,0.4349,0.4122,-0.5637,0.5178,-0.4942,4
82,0.2092,0.9879,0.4012,0.0401,-0.314,-0.7453,0.5869,0.2092,0.9879,0.4012,0.0401,-0.314,-0.7453,0.5869,0.1451,1.0801,0.4376,-0.1096,-0.4779,-0.0111,0.8715,0.1245,1.0863,0.4512,-0.1096,-0.4779,-0.0111,0.8715,0.1067,1.0622,0.4681,0.5435,-0.6547,-0.3417,0.3989,0.0855,1.0624,0.4587,0.5435,-0.6547,-0.3417,0.3989,0.1373,1.0322,0.4368,0.5354,-0.438,0.589,-0.4178,0.163,1.0298,0.4369,0.5354,-0.438,0.589,-0.4178,0.1409,1.0149,0.4329,0.449,-0.486,0.5786,-0.4769,0.1658,1.0112,0.4344,0.449,-0.486,0.5786,-0.4769,0.1386,1.0014,0.4355,0.4126,-0.5635,0.5182,-0.4937,0.161,0.9978,0.4348,0.4126,-0.5635,0.5182,-0.4937,4
96,0.2092,0.9879,0.4012,0.0381,-0.3144,-0.7443,0.588,0.2092,0.9879,0.4012,0.0381,-0.3144,-0.7443,0.588,0.1453,1.0802,0.4377,-0.1121,-0.4756,-0.0119,0.8724,0.1248,1.0866,0.4513,-0.1121,-0.4756,-0.0119,0.8724,0.1068,1.0622,0.468,0.5444,-0.6546,-0.3397,0.3997,0.0856,1.0623,0.4586,0.5444,-0.6546,-0.3397,0.3997,0.1374,1.0322,0.4369,0.5369,-0.4363,0.5893,-0.4173,0.1631,1.0299,0.4369,0.5369,-0.4363,0.5893,-0.4173,0.141,1.015,0.4331,0.4507,-0.4847,0.5789,-0.4763,0.1659,1.0113,0.4345,0.4507,-0.4847,0.5789,-0.4763,0.1386,1.0014,0.4357,0.4143,-0.563,0.5179,-0.4931,0.161,0.9979,0.435,0.4143,-0.563,0.5179,-0.4931,4
111,0.2092,0.9879,0.4012,0.0374,-0.3148,-0.7434,0.589,0.2092,0.9879,0.4012,0.0374,-0.3148,-0.7434,0.589,0.1453,1.0803,0.4377,-0.1141,-0.4743,-0.0127,0.8728,0.1249,1.0867,0.4514,-0.1141,-0.4743,-0.0127,0.8728,0.1067,1.0621,0.4678,0.5459,-0.6554,-0.3363,0.3991,0.0857,1.0621,0.4582,0.5459,-0.6554,-0.3363,0.3991,0.1374,1.0321,0.4368,0.5381,-0.4353,0.5891,-0.4171,0.1631,1.0298,0.4369,0.5381,-0.4353,0.5891,-0.4171,0.141,1.0149,0.4331,0.4519,-0.4838,0.5787,-0.4762,0.1659,1.0112,0.4345,0.4519,-0.4838,0.5787,-0.4762,0.1386,1.0014,0.4358,0.4157,-0.5625,0.5174,-0.493,0.1611,0.9979,0.435,0.4157,-0.5625,0.5174,-0.493,4
124,0.2093,0.9879,0.4012,0.0367,-0.3151,-0.7425,0.59,0.2093,0.9879,0.4012,0.0367,-0.3151,-0.7425,0.59,0.1454,1.0803,0.4377,-0.1162,-0.4731,-0.0137,0.8732,0.125,1.0869,0.4514,-0.1162,-0.4731,-0.0137,0.8732,0.1067,1.062,0.4675,0.5473,-0.6563,-0.3329,0.3986,0.0857,1.0619,0.4579,0.5473,-0.6563,-0.3329,0.3986,0.1374,1.032,0.4368,0.5393,-0.4343,0.5888,-0.4169,0.1631,1.0298,0.4368,0.5393,-0.4343,0.5888,-0.4169,0.141,1.0148,0.433,0.4532,-0.483,0.5785,-0.4762,0.1659,1.0112,0.4345,0.4532,-0.483,0.5785,-0.4762,0.1386,1.0014,0.4358,0.4171,-0.5621,0.5168,-0.493,0.1611,0.9979,0.4351,0.4171,-0.5621,0.5168,-0.493,4
138,0.2093,0.9879,0.4011,0.033,-0.3139,-0.7414,0.5922,0.2093,0.9879,0.4011,0.033,-0.3139,-0.7414,0.5922,0.146,1.0805,0.438,-0.1231,-0.4682,-0.0169,0.8748,0.1258,1.0875,0.4518,-0.1231,-0.4682,-0.0169,0.8748,0.1072,1.0619,0.4679,0.5479,-0.6564,-0.3301,0.4,0.0862,1.0617,0.4582,0.5479,-0.6564,-0.3301,0.4,0.1377,1.0319,0.4371,0.5423,-0.4334,0.5877,-0.4156,0.1634,1.0298,0.437,0.5423,-0.4334,0.5877,-0.4156,0.1413,1.0147,0.4335,0.4562,-0.4824,0.5777,-0.4748,0.1662,1.0112,0.4348,0.4562,-0.4824,0.5777,-0.4748,0.1389,1.0013,0.4364,0.4203,-0.5627,0.5153,-0.491,0.1613,0.9979,0.4354,0.4203,-0.5627,0.5153,-0.491,4
152,0.2094,0.9878,0.401,0.0295,-0.3128,-0.7403,0.5943,0.2094,0.9878,0.401,0.0295,-0.3128,-0.7403,0.5943,0.1466,1.0807,0.4382,-0.1311,-0.4633,-0.0209,0.8762,0.1266,1.0881,0.4522,-0.1311,-0.4633,-0.0209,0.8762,0.1076,1.0618,0.4682,0.5486,-0.6566,-0.3271,0.4012,0.0866,1.0615,0.4584,0.5486,-0.6566,-0.3271,0.4012,0.138,1.0318,0.4374,0.545,-0.4321,0.5869,-0.4145,0.1637,1.0298,0.4372,0.545,-0.4321,0.5869,-0.4145,0.1415,1.0146,0.4338,0.4589,-0.4815,0.5773,-0.4736,0.1665,1.0112,0.4351,0.4589,-0.4815,0.5773,-0.4736,0.1391,1.0013,0.4368,0.4234,-0.5632,0.514,-0.4892,0.1616,0.9979,0.4358,0.4234,-0.5632,0.514,-0.4892,4
166,0.2094,0.9879,0.4009,0.0281,-0.3118,-0.7398,0.5955,0.2094,0.9879,0.4009,0.0281,-0.3118,-0.7398,0.5955,0.1465,1.0807,0.4384,-0.1297,-0.4619,-0.0192,0.8772,0.1266,1.088,0.4524,-0.1297,-0.4619,-0.0192,0.8772,0.1078,1.0617,0.4682,0.5501,-0.6568,-0.3246,0.4007,0.0869,1.0613,0.4583,0.5501,-0.6568,-0.3246,0.4007,0.1381,1.0318,0.4375,0.546,-0.4314,0.5862,-0.4149,0.1638,1.0298,0.4373,0.546,-0.4314,0.5862,-0.4149,0.1417,1.0147,0.434,0.4596,-0.4808,0.5769,-0.4742,0.1666,1.0113,0.4352,0.4596,-0.4808,0.5769,-0.4742,0.1393,1.0013,0.437,0.4244,-0.5632,0.5132,-0.4893,0.1617,0.998,0.4359,0.4244,-0.5632,0.5132,-0.4893,4
